ticker,security,sector,sub_industry,cik
ACN,Accenture,Information Technology,IT Consulting & Other Services,0001467373
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,0001467858
GNRC,Generac,Industrials,Electrical Components & Equipment,0001474735
IQV,IQVIA,Health Care,Life Sciences Tools & Services,0001478242
LYB,LyondellBasell,Materials,Specialty Chemicals,0001489393
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,0001501585
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,0001506307
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,0001510295
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,0001512673
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001513761
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0001521332
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,0001524472
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,0001534701
CRWD,CrowdStrike,Information Technology,Systems Software,0001535527
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0001539838
UBER,Uber,Industrials,Passenger Ground Transportation,0001543151
ABBV,AbbVie,Health Care,Biotechnology,0001551152
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0001551182
ZTS,Zoetis,Health Care,Pharmaceuticals,0001555280
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720
DDOG,Datadog,Information Technology,Application Software,0001561550
NWS,News Corp (Class B),Communication Services,Publishing,0001564708
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,0001571949
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",0001571996
ALLE,Allegion,Industrials,Building Products,0001579241
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001585689
ANET,Arista Networks,Information Technology,Communications Equipment,0001596532
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0001601046
SYF,Synchrony Financial,Financials,Consumer Finance,0001601712
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,0001609711
MDT,Medtronic,Health Care,Health Care Equipment,0001613103
PYPL,PayPal,Financials,Transaction & Payment Processing Services,0001633917
LITE,Lumentum,Information Technology,Communications Equipment,0001633978
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,0001637459
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",0001645590
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,0001652044
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,0001659166
DD,DuPont,Materials,Specialty Chemicals,0001666700
TTD,Trade Desk (The),Communication Services,Advertising,0001671933
VRT,Vertiv,Industrials,Electrical Components & Equipment,0001674101
COIN,Coinbase,Financials,Financial Exchanges & Data,0001679788
MRNA,Moderna,Health Care,Biotechnology,0001682852
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,0001687229
CVNA,Carvana,Consumer Discretionary,Automotive Retail,0001690820
VST,Vistra Corp.,Utilities,Electric Utilities,0001692819
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,0001699150
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0001701605
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,0001705696
LIN,Linde plc,Materials,Industrial Gases,0001707925
EVRG,Evergy,Utilities,Electric Utilities,0001711269
AVGO,Broadcom,Information Technology,Semiconductors,0001730168
CI,Cigna,Health Care,Health Care Services,0001739940
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,0001744489
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0001748790
APP,AppLovin,Information Technology,Application Software,0001751008
DOW,Dow Inc.,Materials,Commodity Chemicals,0001751788
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,0001754301
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,0001755672
STE,Steris,Health Care,Health Care Equipment,0001757898
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,0001781335
CARR,Carrier Global,Industrials,Building Products,0001783180
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,0001783879
VTRS,Viatris,Health Care,Pharmaceuticals,0001792044
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,0001792789
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,0001811074
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0001841666
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0001858681
CEG,Constellation Energy,Utilities,Electric Utilities,0001868275
GEHC,GE HealthCare,Health Care,Health Care Equipment,0001932393
KVUE,Kenvue,Consumer Staples,Personal Care Products,0001944048
SOLV,Solventum,Health Care,Health Care Technology,0001964738
VLTO,Veralto,Industrials,Environmental & Facilities Services,0001967680
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,0001973266
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,0001996810
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,0001996862
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,0002005951
BLK,BlackRock,Financials,Asset Management & Custody Banks,0002012383
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",0002023554
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,0002041610
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,0002058873
